timestamp,open,high,low,close,volume,symbol
2025-03-22 21:00:00,627.63,628.8,625.2,625.85,4315.803,BNBUSDT
2025-03-22 22:00:00,625.86,627.89,625.85,627.35,2722.151,BNBUSDT
2025-03-22 23:00:00,627.35,627.58,624.8,627.01,3754.981,BNBUSDT
2025-03-23 00:00:00,627.01,628.4,625.08,627.85,5855.819,BNBUSDT
2025-03-23 01:00:00,627.84,629.14,623.96,624.41,6994.225,BNBUSDT
2025-03-23 02:00:00,624.4,625.17,623.0,624.14,11031.335,BNBUSDT
2025-03-23 03:00:00,624.14,624.81,622.96,624.06,4435.016,BNBUSDT
2025-03-23 04:00:00,624.06,624.36,621.99,622.82,7383.012,BNBUSDT
2025-03-23 05:00:00,622.82,624.32,622.31,624.27,5621.305,BNBUSDT
2025-03-23 06:00:00,624.27,624.33,622.65,622.93,6985.822,BNBUSDT
2025-03-23 07:00:00,622.93,624.21,622.75,622.88,4520.816,BNBUSDT
2025-03-23 08:00:00,622.87,624.12,622.21,622.22,6575.955,BNBUSDT
2025-03-23 09:00:00,622.21,623.0,621.25,621.49,5636.685,BNBUSDT
2025-03-23 10:00:00,621.5,621.89,620.01,620.92,10694.95,BNBUSDT
2025-03-23 11:00:00,620.92,624.63,620.84,621.7,8394.0,BNBUSDT
2025-03-23 12:00:00,621.7,623.46,620.71,623.32,6587.848,BNBUSDT
2025-03-23 13:00:00,623.32,624.73,622.54,624.17,6935.07,BNBUSDT
2025-03-23 14:00:00,624.18,624.36,622.04,622.67,7086.697,BNBUSDT
2025-03-23 15:00:00,622.67,623.7,621.31,621.35,7383.968,BNBUSDT
2025-03-23 16:00:00,621.35,622.74,619.5,621.43,9681.741,BNBUSDT
2025-03-23 17:00:00,621.44,623.2,621.01,623.07,4691.22,BNBUSDT
2025-03-23 18:00:00,623.07,624.09,621.99,623.4,6734.979,BNBUSDT
2025-03-23 19:00:00,623.39,623.8,622.65,623.11,6855.058,BNBUSDT
2025-03-23 20:00:00,623.1,623.77,622.06,623.76,3592.54,BNBUSDT
2025-03-23 21:00:00,623.77,623.8,622.57,623.51,3038.491,BNBUSDT
2025-03-23 22:00:00,623.5,624.3,620.51,621.92,4397.275,BNBUSDT
2025-03-23 23:00:00,621.92,623.8,621.35,623.79,4488.751,BNBUSDT
2025-03-24 00:00:00,623.8,627.3,622.47,622.73,17047.94,BNBUSDT
2025-03-24 01:00:00,622.74,622.89,619.06,619.29,15011.501,BNBUSDT
2025-03-24 02:00:00,619.28,621.6,618.0,621.11,9571.331,BNBUSDT
2025-03-24 03:00:00,621.11,626.73,621.01,623.28,12017.907,BNBUSDT
2025-03-24 04:00:00,623.29,625.27,623.22,624.66,8401.149,BNBUSDT
2025-03-24 05:00:00,624.67,625.63,622.98,625.12,8678.684,BNBUSDT
2025-03-24 06:00:00,625.13,626.07,623.06,623.08,10536.102,BNBUSDT
2025-03-24 07:00:00,623.09,623.98,620.75,623.06,8647.129,BNBUSDT
2025-03-24 08:00:00,623.05,626.53,622.01,626.13,12548.589,BNBUSDT
2025-03-24 09:00:00,626.13,628.0,626.13,627.94,11436.23,BNBUSDT
2025-03-24 10:00:00,627.95,630.0,627.93,629.23,10735.902,BNBUSDT
2025-03-24 11:00:00,629.23,632.16,628.84,630.75,13123.688,BNBUSDT
2025-03-24 12:00:00,630.75,631.75,626.51,626.88,13135.1,BNBUSDT
2025-03-24 13:00:00,626.88,627.89,624.6,626.37,15771.169,BNBUSDT
2025-03-24 14:00:00,626.36,630.43,626.12,627.08,20450.614,BNBUSDT
2025-03-24 15:00:00,627.07,632.35,626.53,631.04,19908.204,BNBUSDT
2025-03-24 16:00:00,631.05,639.0,629.9,635.78,42244.048,BNBUSDT
2025-03-24 17:00:00,635.79,639.5,635.3,638.06,15119.09,BNBUSDT
2025-03-24 18:00:00,638.06,638.65,635.18,636.81,9871.56,BNBUSDT
2025-03-24 19:00:00,636.81,637.13,635.5,636.26,5935.026,BNBUSDT
2025-03-24 20:00:00,636.25,638.5,635.76,636.64,5409.483,BNBUSDT
2025-03-24 21:00:00,636.64,637.0,634.63,635.3,6744.815,BNBUSDT
2025-03-24 22:00:00,635.31,635.66,632.3,635.39,6552.936,BNBUSDT
2025-03-24 23:00:00,635.38,637.2,634.23,637.08,8677.794,BNBUSDT
2025-03-25 00:00:00,637.08,642.0,635.71,636.55,23469.548,BNBUSDT
