timestamp,open,high,low,close,volume,symbol
2025-03-22 21:00:00,1993.5,1995.16,1984.0,1986.23,6367.0512,ETHUSDT
2025-03-22 22:00:00,1986.23,1990.13,1983.8,1985.01,3411.5742,ETHUSDT
2025-03-22 23:00:00,1985.01,1985.76,1974.78,1980.69,8702.4477,ETHUSDT
2025-03-23 00:00:00,1980.68,1986.57,1976.81,1985.52,6239.1887,ETHUSDT
2025-03-23 01:00:00,1985.53,1998.75,1984.74,1998.04,7960.7269,ETHUSDT
2025-03-23 02:00:00,1998.04,2003.54,1993.07,2001.72,8497.9708,ETHUSDT
2025-03-23 03:00:00,2001.71,2008.73,1996.66,2008.31,7954.7356,ETHUSDT
2025-03-23 04:00:00,2008.32,2008.62,1998.91,2000.24,9150.2982,ETHUSDT
2025-03-23 05:00:00,2000.25,2001.03,1992.08,1999.67,53909.2852,ETHUSDT
2025-03-23 06:00:00,1999.67,2005.25,1997.17,2002.72,8937.3174,ETHUSDT
2025-03-23 07:00:00,2002.72,2019.8,2001.42,2008.04,12725.9158,ETHUSDT
2025-03-23 08:00:00,2008.04,2016.25,2005.72,2009.73,10185.0325,ETHUSDT
2025-03-23 09:00:00,2009.73,2016.0,2009.73,2014.25,6491.6088,ETHUSDT
2025-03-23 10:00:00,2014.26,2020.74,2011.92,2013.24,9696.5003,ETHUSDT
2025-03-23 11:00:00,2013.25,2020.19,2002.9,2008.01,14073.1013,ETHUSDT
2025-03-23 12:00:00,2008.01,2013.64,2006.56,2009.17,7847.5426,ETHUSDT
2025-03-23 13:00:00,2009.18,2020.0,2004.81,2018.49,10101.4675,ETHUSDT
2025-03-23 14:00:00,2018.5,2020.2,2002.52,2004.35,13733.3749,ETHUSDT
2025-03-23 15:00:00,2004.34,2012.0,2003.53,2007.06,10081.672,ETHUSDT
2025-03-23 16:00:00,2007.06,2008.23,1996.23,1997.27,12246.618,ETHUSDT
2025-03-23 17:00:00,1997.28,2002.73,1987.5,1992.95,12168.2255,ETHUSDT
2025-03-23 18:00:00,1992.96,1999.5,1989.99,1997.32,8431.2453,ETHUSDT
2025-03-23 19:00:00,1997.32,1998.2,1992.94,1996.3,4431.9811,ETHUSDT
2025-03-23 20:00:00,1996.3,2000.71,1992.1,1992.42,5155.5092,ETHUSDT
2025-03-23 21:00:00,1992.42,1996.47,1986.07,1995.06,8248.3019,ETHUSDT
2025-03-23 22:00:00,1995.07,1998.69,1980.77,1987.38,13380.6403,ETHUSDT
2025-03-23 23:00:00,1987.39,2006.68,1987.19,2005.99,7059.2635,ETHUSDT
2025-03-24 00:00:00,2005.99,2021.39,1996.75,1998.79,19589.7774,ETHUSDT
2025-03-24 01:00:00,1998.78,1998.84,1977.67,1980.7,15725.4911,ETHUSDT
2025-03-24 02:00:00,1980.71,1993.64,1978.49,1992.11,15984.3576,ETHUSDT
2025-03-24 03:00:00,1992.11,2017.28,1990.26,2014.48,28093.1114,ETHUSDT
2025-03-24 04:00:00,2014.49,2043.76,2014.49,2040.27,31475.4974,ETHUSDT
2025-03-24 05:00:00,2040.28,2054.19,2038.96,2048.88,30851.7386,ETHUSDT
2025-03-24 06:00:00,2048.89,2075.94,2048.89,2066.64,35570.4108,ETHUSDT
2025-03-24 07:00:00,2066.63,2079.58,2065.93,2069.16,25528.0772,ETHUSDT
2025-03-24 08:00:00,2069.18,2096.32,2068.77,2090.46,33086.6079,ETHUSDT
2025-03-24 09:00:00,2090.46,2095.0,2084.74,2094.3,15435.5531,ETHUSDT
2025-03-24 10:00:00,2094.3,2099.0,2088.17,2094.23,15335.4967,ETHUSDT
2025-03-24 11:00:00,2094.24,2104.11,2087.48,2092.77,18848.9549,ETHUSDT
2025-03-24 12:00:00,2092.77,2094.7,2078.6,2083.72,18483.4,ETHUSDT
2025-03-24 13:00:00,2083.71,2087.69,2073.47,2082.33,21288.8037,ETHUSDT
2025-03-24 14:00:00,2082.33,2102.49,2077.7,2080.81,32134.674,ETHUSDT
2025-03-24 15:00:00,2080.8,2090.77,2075.27,2089.77,13241.0203,ETHUSDT
2025-03-24 16:00:00,2089.76,2093.71,2067.67,2079.15,17475.909,ETHUSDT
2025-03-24 17:00:00,2079.14,2092.93,2077.1,2088.28,17077.1176,ETHUSDT
2025-03-24 18:00:00,2088.28,2101.3,2081.35,2097.25,20472.0265,ETHUSDT
2025-03-24 19:00:00,2097.25,2097.82,2085.35,2088.71,14675.2243,ETHUSDT
2025-03-24 20:00:00,2088.71,2095.41,2082.38,2085.38,7839.2827,ETHUSDT
2025-03-24 21:00:00,2085.37,2092.26,2080.51,2083.59,6745.8061,ETHUSDT
2025-03-24 22:00:00,2083.59,2086.99,2075.8,2077.15,11073.4989,ETHUSDT
2025-03-24 23:00:00,2077.15,2084.14,2068.33,2081.2,11880.9782,ETHUSDT
2025-03-25 00:00:00,2081.2,2097.7,2077.2,2086.33,12464.4542,ETHUSDT
2025-03-25 01:00:00,2086.32,2086.32,2056.09,2065.18,17047.8447,ETHUSDT
2025-03-25 02:00:00,2065.19,2069.96,2062.05,2063.07,13126.4212,ETHUSDT
2025-03-25 03:00:00,2063.08,2065.57,2041.83,2043.26,21138.1852,ETHUSDT
2025-03-25 04:00:00,2043.25,2050.4,2037.08,2046.08,11192.3555,ETHUSDT
2025-03-25 05:00:00,2046.08,2051.91,2040.83,2048.48,6951.538,ETHUSDT
